0:0:0:0:0:0:0:1 - - [10/May/2024:05:34:12 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:34:12 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:34:12 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:34:12 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:34:12 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:34:18 +0800] "GET /comp4321/apis/getData.jsp?input=et HTTP/1.1" 500 17400
0:0:0:0:0:0:0:1 - - [10/May/2024:05:37:23 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:37:23 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:37:23 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:37:23 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:37:23 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:37:29 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 16910
0:0:0:0:0:0:0:1 - - [10/May/2024:05:38:57 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:38:57 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:38:57 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:38:57 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:38:58 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:03 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 15249
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:35 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:35 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:35 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:35 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:35 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:41 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 14729
0:0:0:0:0:0:0:1 - - [10/May/2024:05:39:41 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 2849
0:0:0:0:0:0:0:1 - - [10/May/2024:05:40:26 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:40:26 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:40:26 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:40:26 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:40:26 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:40:32 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 14264
0:0:0:0:0:0:0:1 - - [10/May/2024:05:41:28 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:41:28 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:41:28 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:41:28 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:41:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:41:33 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 4775
0:0:0:0:0:0:0:1 - - [10/May/2024:05:42:23 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 4304
0:0:0:0:0:0:0:1 - - [10/May/2024:05:42:24 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:42:24 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:42:24 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:42:24 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:42:25 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:42:30 +0800] "GET /comp4321/apis/getData.jsp?input=Test%20 HTTP/1.1" 500 4304
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:25 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:25 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:25 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:25 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:25 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:30 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 3910
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:59 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:59 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:59 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:59 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:45:59 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:46:06 +0800] "GET /comp4321/apis/getData.jsp?input=Test%20 HTTP/1.1" 500 3941
0:0:0:0:0:0:0:1 - - [10/May/2024:05:46:26 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:46:26 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:46:26 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:46:26 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:46:27 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:46:32 +0800] "GET /comp4321/apis/getData.jsp?input=Test%20 HTTP/1.1" 500 3505
0:0:0:0:0:0:0:1 - - [10/May/2024:05:49:45 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:49:46 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:49:46 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:49:46 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:49:46 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:49:51 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 2531
0:0:0:0:0:0:0:1 - - [10/May/2024:05:50:57 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:50:57 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:50:57 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:50:57 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:50:57 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:51:03 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 2457
0:0:0:0:0:0:0:1 - - [10/May/2024:05:51:21 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:51:21 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:51:21 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:51:21 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:51:21 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:52:08 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 2550
